"lifetime_gross"	"year"	"(no genres listed)"	"Action"	"Adventure"	"Animation"	"Children"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film-Noir"	"Horror"	"IMAX"	"Musical"	"Mystery"	"Romance"	"Sci-Fi"	"Thriller"	"War"	"Western"	"title"	"averageRating"	"numVotes"	"isAdult"	"runtimeMinutes"	"avg_rating_grouplense"
"34"	39363635	1995	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	"Dead Man Walking"	7.5	92607	0	122	3.91868681658758
"35"	19474589	1995	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"It Takes Two"	5.9	22043	0	101	2.87083993660856
"36"	56631572	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Clueless"	6.9	201723	0	97	3.41873808616088
"37"	670727	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Cry, the Beloved Country"	7	746	0	103	3.5
"38"	670727	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Cry, the Beloved Country"	6.8	1823	0	106	3.6267252195734
"39"	2684904	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"Richard III"	5.7	267	0	55	3.25
"40"	2684904	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"Richard III"	7.4	4466	0	161	3.73097826086957
"41"	2684904	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"Richard III"	7.4	14428	0	110	3.84341303328645
"42"	24147179	1995	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	"Dead Presidents"	6.9	21519	0	119	3.0495652173913
"43"	4005941	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Restoration"	6.6	9342	0	117	3.44995667244367
"44"	4005941	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Restoration"	4.1	990	0	92	2.375
"45"	70454098	1995	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"Mortal Kombat"	5.8	115409	0	101	2.65462414149967
"46"	21284514	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"To Die For"	6.8	46700	0	106	3.38290794726019
"47"	23600020	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"How to Make an American Quilt"	6.3	11447	0	117	3.26341294565594
"48"	141579773	1995	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	"Pocahontas"	6.7	179242	0	81	2.97775053859297
"49"	919671	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"When Night Is Falling"	6.5	6955	0	94	3.51973684210526
"50"	19480	1994	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"Guardian Angel"	5	416	0	97	2.60714285714286
"51"	6468498	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Mighty Aphrodite"	7	39606	0	95	3.53289242654805
"52"	1110104	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Georgia"	6.6	3038	0	115	3.22032902467685
"53"	17519169	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Home for the Holidays"	6.6	12949	0	103	3.32043828264759
"54"	17519169	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Home for the Holidays"	5.8	243	0	87	NA
"55"	26877589	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"Eye for an Eye"	6.2	15920	0	101	3.31609195402299
"56"	82569971	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Mr. Holland's Opus"	7.3	37645	0	143	3.71535467602237
"57"	20109115	1996	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Don't Be a Menace to South Central While Drinking Your Juice in the Hood"	6.6	53239	0	89	3.08390410958904
"58"	10658278	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Two If by Sea"	5.3	5735	0	96	2.81395966029724
"59"	13427615	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bio-Dome"	4.5	27145	0	88	2.37025520051469
"60"	2409225	1996	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"Lawnmower Man 2: Beyond Cyberspace"	2.5	9463	0	93	2.13769751693002
"61"	26282	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Two Bits"	6.2	3410	0	85	3.29754601226994
"62"	27467564	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Friday"	7.3	107371	0	91	3.5583216456288
"63"	25836616	1996	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	"From Dusk Till Dawn"	7.2	301627	0	108	3.32656891911036
"64"	52842724	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Kicking and Screaming"	6.8	13220	0	96	3.48685326547922
"65"	718490	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Kicking and Screaming"	6.8	13220	0	96	3.48685326547922
"66"	19030691	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Bed of Roses"	6.5	832	0	67	3.875
"67"	19030691	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Bed of Roses"	6.1	8226	0	87	3.28809891808346
"68"	2042530	1996	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Big Bully"	4.8	4967	0	90	2.42965779467681
"69"	5711695	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"Screamers"	6.4	26493	0	108	3.01004636785162
"70"	529766	1995	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	"Things to Do in Denver When You're Dead"	6.8	27255	0	115	3.2527435982707
"71"	2291255	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Once Upon a Time... When We Were Colored"	7.2	532	0	115	3.64432029795158
"72"	801984	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Last Summer in the Hamptons"	5.8	413	0	108	3.35815602836879
"73"	3414301	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Angels and Insects"	6.9	4581	0	116	3.52683326505531
"74"	10292300	1996	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"White Squall"	6.6	23455	0	129	3.47666411629686
"75"	9871065	1996	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Dunston Checks In"	5.4	12388	0	88	2.34968017057569
"76"	32417995	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Black Sheep"	6.7	310	0	76	NA
"77"	32417995	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Black Sheep"	6.3	39269	0	87	3.10718816067653
"78"	8175346	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Nick of Time"	6.3	41150	0	90	3.12940226171244
"79"	14381	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"The Journey of August King"	6.5	985	0	91	3.33333333333333
"80"	5707094	1996	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	"Mary Reilly"	5.8	14726	0	108	2.85004730368969
"81"	19751736	1995	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	"Vampire in Brooklyn"	4.6	23047	0	100	2.49199380165289
"82"	10597759	1996	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Beautiful Girls"	7.1	32544	0	112	3.52792553191489
"83"	3061	1994	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Shopping"	5.4	2756	0	105	2.59638554216867
"84"	20340204	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"City Hall"	6.2	20341	0	111	3.22122015915119
"85"	560069	1996	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	"Bottle Rocket"	6.8	6139	0	13	3.42857142857143
"86"	560069	1996	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	"Bottle Rocket"	7	74393	0	91	3.76735015772871
"87"	12825141	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Mr. Wrong"	3.9	5052	0	96	2.4106463878327
"88"	2821671	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	"Unforgettable"	6	5275	0	117	3.25525812619503
"89"	2821671	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	"Unforgettable"	5.1	15101	0	100	2.71111111111111
"90"	38824099	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Happy Gilmore"	7	211773	0	92	3.39439812402293
"91"	34327391	1996	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"Muppet Treasure Island"	7	23273	0	99	3.2168744804655
"92"	28672	1996	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Catwalk"	7	314	0	95	3.07391304347826
"93"	75609945	1995	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"Braveheart"	8.3	997227	0	178	4.00227257366856
"94"	28262574	1976	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	"Taxi Driver"	7	275	0	133	3.5
"95"	28262574	1976	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	"Taxi Driver"	8.2	772064	0	114	4.08347921600934
"96"	8797839	1996	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	"Before and After"	6.1	8827	0	108	3.1010101010101
"97"	1310200	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Anne Frank Remembered"	8.1	1151	0	117	3.91142857142857
"98"	2420162	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"If Lucy Fell"	4.9	4118	0	92	2.98543689320388
"99"	1945552	1996	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Race the Sun"	5.4	3165	0	100	2.84154929577465
"100"	70052444	1992	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Boomerang"	6.5	994	0	101	1.75
"101"	14702438	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Flirting with Disaster"	6.7	18509	0	92	3.74419684308264
"102"	10622	1994	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Jupiter's Wife"	7.1	240	0	87	3.48591549295775
"103"	103365	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Frankie Starlight"	6.6	888	0	101	3.31065088757396
"104"	9851610	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Jade"	5.3	12428	0	95	2.77792207792208
"105"	25785603	1996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Down Periscope"	6.2	23749	0	92	3.00185434929198
"106"	37327390	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Man of the Year"	6	331	0	86	3.25485436893204
"107"	37327390	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Man of the Year"	6.2	33011	0	115	2.90375203915171
"108"	9023199	1995	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Target"	7.8	79	0	122	3.11111111111111
"109"	65807024	1995	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	"Bad Boys"	6.9	253624	0	119	3.27551578618318
"110"	757088	1994	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	"Amateur"	6.9	6035	0	105	3.68669314796425
"111"	173837933	1995	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	"Apollo 13"	7.6	283881	0	140	3.87355561527172
"112"	31596911	1995	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	"Rob Roy"	6.9	42064	0	139	3.53139284174213
"113"	184069126	1995	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Batman Forever"	5.4	243245	0	121	2.87166007523874
"114"	5750110	1995	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"Beyond Rangoon"	6.6	5131	0	100	3.4083904109589
"115"	1268636	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Blue in the Face"	6.7	9433	0	83	3.50887573964497
"116"	163971	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"Canadian Bacon"	5.9	16755	0	91	2.79420230263158
"117"	100328194	1995	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Casper"	6.1	129281	0	100	2.92147906902852
"118"	13071518	1995	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	"Clockers"	6.9	21870	0	128	3.41783612494341
"119"	81022101	1995	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	"Congo"	5.3	44761	0	109	2.6022161264708
"120"	91387195	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	"Crimson Tide"	7.3	108609	0	116	3.7398612354521
"121"	3041083	1994	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Crumb"	8	19669	0	119	4.00807740102965
"122"	25405445	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	"Desperado"	7.2	180294	0	104	3.43925858187957
"123"	16140822	1995	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	"Devil in a Blue Dress"	6.7	19385	0	102	3.45225629518823
"124"	100012499	1995	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"Die Hard: With A Vengeance"	7.6	376529	0	128	3.50656665974919
"125"	293274	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Feast of July"	6.2	555	0	116	3.07638888888889
"126"	37600435	1995	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"First Knight"	6	71602	0	134	3.08188168715183
"127"	30077111	1995	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Free Willy 2: The Adventure Home"	5.1	18004	0	95	2.26954602774275
"128"	7563728	1995	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"Hackers"	6.3	68209	0	105	3.21571040020723
"129"	3487767	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Jeffrey"	6.8	6132	0	92	3.59984579799537
"130"	19075720	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"Johnny Mnemonic"	5.7	69894	0	103	2.75156301414939
"131"	34693481	1995	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	"Judge Dredd"	5.6	115248	0	96	2.55535980485161
"132"	17014653	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Jury Duty"	4.3	7929	0	88	2.44927536231884
"133"	7412216	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Kids"	7.1	76490	0	91	3.50779932546374
"134"	7412216	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Kids"	6.7	232	0	109	3.5
"135"	1111790	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Living in Oblivion"	7.5	17988	0	90	3.84906945074898
"136"	13294422	1995	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Lord of Illusions"	6.1	17249	0	109	2.88925081433225
"137"	15453274	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Mad Love"	7.3	5097	0	68	3.58333333333333
"138"	15453274	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Mad Love"	5.4	6490	0	93	2.73056300268097
"139"	2122561	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Mallrats"	7.1	120368	0	94	3.57578293091083
"140"	2484226	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Moonlight and Valentino"	5.7	3674	0	105	3.07547169811321
"141"	1125910	1994	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	"Mute Witness"	6.7	5635	0	95	3.36230636833046
"142"	443169	1994	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Nadja"	6.1	3171	0	93	3.06709265175719
"143"	69684532	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Nine Months"	5.5	36385	0	103	2.87724349745657
"144"	472370	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Party Girl"	7	3140	0	99	3.11764705882353
"145"	472370	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Party Girl"	6.6	4952	0	94	3.43142857142857
"146"	8289916	1995	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"Reckless"	5.2	479	0	91	2.99177631578947
"147"	512245	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Safe"	7.2	14516	0	119	3.57817418677859
"148"	512245	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"Safe"	6.5	108033	0	94	3.31484502446982
"149"	2702578	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"The Show"	6.9	565	0	76	2.5
"150"	2702578	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"The Show"	6.9	359	0	93	3.0379746835443
"151"	20350754	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Showgirls"	4.9	65730	0	128	2.24782973956875
"152"	8367636	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Smoke"	7.4	35526	0	112	3.84429382670819
"153"	50865589	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Something to Talk About"	5.8	14842	0	106	3.07794417971409
"154"	60074103	1995	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	"Species"	5.8	78477	0	108	2.83602709151081
"155"	7959291	1995	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	"Strange Days"	7.2	70040	0	145	3.41799676150821
"156"	7027517	1995	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	"Three Wishes"	6.1	3069	0	115	3.00145772594752
"157"	340139	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Total Eclipse"	6.5	15290	0	111	3.05434782608696
"158"	50024083	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Under Siege 2: Dark Territory"	5.5	45763	0	100	2.92660492260848
"159"	7929434	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Unstrung Heroes"	6.7	3119	0	93	3.5
"160"	2875086	1995	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Unzipped"	6.5	1122	0	73	3.44871794871795
"161"	88246220	1995	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Waterworld"	6.2	190402	0	135	2.86523359023998
"162"	3734870	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"White Man's Burden"	5.3	4870	0	89	2.81057268722467
"163"	2193982	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"Wild Bill"	5.9	6885	0	98	2.88702460850112
"164"	2193982	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"Wild Bill"	7.2	12825	0	98	3.375
"165"	7919823	1995	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	"Bushwhacked"	5.6	5990	0	90	2.56572769953052
"166"	5535405	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Before Sunrise"	8.1	290729	0	101	3.91484351261015
"167"	25588734	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Billy Madison"	6.4	138796	0	89	3.2408267020336
"168"	23440188	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Boys on the Side"	6.5	12697	0	115	3.28584368530021
"169"	23389975	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Circle of Friends"	6.6	8478	0	103	3.52847041310011
"170"	3151130	1994	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Clerks"	7.7	217617	0	92	3.84721413721414
"171"	22150451	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Don Juan de Marco"	6.7	49932	0	97	3.44499935971315
"172"	83015089	1994	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	"Disclosure"	6.1	48853	0	128	3.28403209109731
